id,RSRP,RSRQ,SINR,earfcn,latitude,longitude,altitude
1,-90,-6,24,2850,-28.6809589,116.2346515,4920.38
2,-90,-6,24,2850,-28.79271,116.4254286,4955.28
3,-90,-6,24,2850,-28.7926306,116.4255266,4955.26
4,-67,-12,3,643488,-28.8712116,116.4027454,4980.14
5,-67,-12,3,643488,-28.8371669,115.9286716,4970.25
6,-67,-12,2,643488,-28.6032113,115.2827612,4897.7
7,-67,-12,2,643488,-28.6431141,115.7665483,4909.34
8,-67,-12,2,643488,-28.9022082,116.8627918,4989.11
9,-67,-12,2,643488,-28.8236981,116.8710582,4964.25
10,-67,-12,2,643488,37.6104374,126.9965211,133.37
11,-67,-12,2,643488,37.6104373,126.9965209,133.38
12,-67,-12,2,643488,37.6104367,126.9965207,133.42
13,-67,-12,2,643488,37.6104366,126.9965221,133.65
14,-67,-12,2,643488,37.6104367,126.9965236,133.93
15,-67,-12,2,643488,37.6104366,126.9965249,134.2
16,-62,-12,5,643488,37.6104367,126.996528,134.72
17,-62,-12,5,643488,37.6104368,126.9965298,134.97
18,-50,-10,14,643488,37.6104367,126.9965317,135.31
19,-50,-10,14,643488,37.6104357,126.9965464,137.86
20,-50,-10,14,643488,37.6104355,126.9965462,137.83
21,-50,-10,14,643488,37.6104353,126.996546,137.8
22,-50,-10,14,643488,37.6104348,126.996546,137.79
23,-50,-10,14,643488,37.6104345,126.9965459,137.78
24,-50,-10,14,643488,37.6104342,126.9965457,137.76
25,-63,-11,8,643488,37.6104339,126.9965458,137.76
26,-63,-11,8,643488,37.6106857,126.9965906,130.42
27,-63,-11,8,643488,37.6106865,126.996589,130.13
28,-63,-11,8,643488,37.6106889,126.996586,129.3
29,-63,-11,8,643488,37.6106896,126.996585,129.05
30,-63,-11,8,643488,37.6106901,126.9965843,128.94
31,-63,-11,8,643488,37.6106904,126.9965837,128.79
32,-63,-11,8,643488,37.6106928,126.9965508,123.91
33,-63,-11,8,643488,37.6106923,126.9965502,123.87
34,-54,-11,11,643488,37.6106919,126.9965495,123.85
35,-54,-11,11,643488,37.6106917,126.9965488,123.89
36,-54,-11,11,643488,37.6106918,126.9965476,124.03
37,-54,-11,11,643488,37.6106916,126.9965467,124.11
38,-54,-11,11,643488,37.6106912,126.9965456,124.13
39,-54,-11,11,643488,37.6106908,126.9965445,124.18
40,-54,-11,11,643488,37.6106899,126.9965429,124.17
41,-54,-11,11,643488,37.6106824,126.9965335,123.81
42,-54,-11,11,643488,37.6106813,126.9965322,123.75
43,-54,-11,11,643488,37.6106807,126.9965315,123.71
44,-52,-11,12,643488,37.6106801,126.9965308,123.68
45,-52,-11,12,643488,37.6106795,126.9965301,123.65
46,-52,-11,12,643488,37.6106784,126.9965288,123.6
47,-52,-11,12,643488,37.610678,126.9965282,123.58
48,-52,-11,12,643488,37.6106775,126.9965275,123.55
49,-52,-11,12,643488,37.6106769,126.9965268,123.53
50,-52,-11,12,643488,37.6106747,126.9965203,124.18
51,-52,-11,12,643488,37.6106748,126.9965196,124.3
52,-52,-11,12,643488,37.6106746,126.9965191,124.29
53,-52,-11,12,643488,37.6106741,126.9965185,124.23
54,-52,-10,14,643488,37.6106736,126.9965178,124.22
55,-52,-10,14,643488,37.6106731,126.996517,124.23
56,-52,-10,14,643488,37.6106721,126.9965154,124.21
57,-52,-10,14,643488,37.6106716,126.9965147,124.22
58,-52,-10,14,643488,37.610671,126.9965139,124.22
59,-52,-10,14,643488,37.6106367,126.9964841,124.53
60,-52,-10,14,643488,37.6106368,126.9964841,124.54
61,-52,-10,14,643488,37.6106368,126.9964841,124.54
62,-52,-10,14,643488,37.6106367,126.9964842,124.49
63,-52,-10,14,643488,37.6106367,126.9964842,124.48
64,-53,-10,13,643488,37.6106368,126.9964843,124.48
65,-53,-10,13,643488,37.6106368,126.9964843,124.46
66,-53,-10,13,643488,37.6106367,126.9964842,124.43
67,-53,-10,13,643488,37.6106367,126.9964842,124.41
68,-53,-10,13,643488,37.6106362,126.996484,124.34
69,-53,-10,13,643488,37.6106362,126.9964841,124.33
70,-53,-10,13,643488,37.6106362,126.9964841,124.33
71,-53,-10,13,643488,37.6106362,126.9964843,124.33
72,-53,-10,13,643488,37.6106362,126.9964844,124.35
73,-53,-10,14,643488,37.6106362,126.9964845,124.36
74,-53,-10,14,643488,37.6106361,126.9964846,124.35
75,-53,-10,14,643488,37.6106361,126.9964848,124.35
76,-53,-10,14,643488,37.610635,126.9964838,124.55
77,-53,-10,14,643488,37.6106349,126.9964837,124.56
78,-53,-10,14,643488,37.6106347,126.9964836,124.57
79,-53,-10,14,643488,37.6106345,126.9964833,124.61
80,-53,-10,14,643488,37.6106342,126.9964829,124.64
81,-53,-10,14,643488,37.610634,126.9964828,124.65
82,-52,-11,14,643488,37.6106338,126.9964825,124.68
83,-52,-11,14,643488,37.6106323,126.9964805,124.43
84,-52,-11,14,643488,37.6106321,126.9964804,124.41
85,-52,-11,14,643488,37.6106318,126.9964801,124.35
86,-52,-11,14,643488,37.6106317,126.9964799,124.34
87,-52,-11,14,643488,37.6106316,126.9964798,124.31
88,-52,-11,14,643488,37.6106314,126.9964798,124.28
89,-52,-11,14,643488,37.6106311,126.9964796,124.23
90,-52,-11,14,643488,37.6106309,126.9964796,124.2
91,-52,-11,14,643488,37.6106288,126.9964789,123.72
92,-57,-11,8,643488,37.6106285,126.9964787,123.68
93,-57,-11,8,643488,37.6106283,126.9964785,123.63
94,-57,-11,8,643488,37.6106281,126.9964782,123.61
95,-57,-11,8,643488,37.6106276,126.9964778,123.52
96,-57,-11,8,643488,37.6106273,126.9964776,123.47
97,-57,-11,8,643488,37.6106271,126.9964774,123.43
98,-57,-11,8,643488,37.6106269,126.9964771,123.4
99,-57,-11,8,643488,37.6106264,126.9964765,123.36
100,-55,-11,10,643488,37.6106424,126.9965062,125.8
101,-55,-11,10,643488,37.6106428,126.996506,125.72
102,-55,-11,10,643488,37.6106432,126.9965057,125.63
103,-55,-11,10,643488,37.6106436,126.9965057,125.56
104,-55,-11,10,643488,37.6106443,126.9965057,125.49
105,-55,-11,10,643488,37.6106447,126.9965055,125.43
106,-55,-11,10,643488,37.610645,126.9965054,125.38
107,-55,-11,10,643488,37.6106453,126.9965053,125.34
108,-55,-11,10,643488,37.6106459,126.9965054,125.27
109,-56,-11,11,643488,37.6106493,126.9965071,125.19
110,-56,-11,11,643488,37.6106495,126.9965071,125.18
111,-56,-11,11,643488,37.6106497,126.9965073,125.14
112,-56,-11,11,643488,37.6106497,126.9965076,125.09
113,-58,-11,11,643488,37.6106498,126.9965077,125.02
114,-58,-11,11,643488,37.61065,126.9965078,125.1
115,-58,-11,11,643488,37.6106502,126.9965079,125.12
116,-58,-11,11,643488,37.6106504,126.9965081,125.15
117,-58,-11,11,643488,37.6106491,126.9964864,125.46
118,-58,-11,11,643488,37.6106489,126.9964864,125.36
119,-58,-11,11,643488,37.6106487,126.9964862,125.35
120,-58,-11,11,643488,37.6106486,126.996486,125.17
121,-58,-11,11,643488,37.6106487,126.996486,125.04
122,-58,-11,11,643488,37.6106493,126.9964864,125.01
123,-59,-11,13,643488,37.6106498,126.9964867,124.99
124,-59,-11,13,643488,37.6106506,126.9964868,125.12
125,-59,-11,13,643488,37.610651,126.996487,125.22
126,-59,-11,13,643488,37.6106582,126.9964862,126.48
127,-59,-11,13,643488,37.6106586,126.9964865,126.55
128,-59,-11,13,643488,37.6106584,126.9964863,126.51
129,-59,-11,13,643488,37.6106585,126.9964858,126.55
130,-59,-11,13,643488,37.6106585,126.9964856,126.55
131,-59,-11,13,643488,37.6106585,126.9964854,126.57
132,-52,-10,17,643488,37.6106586,126.9964854,126.56
133,-52,-10,17,643488,37.6106645,126.9964879,122.47
134,-52,-10,17,643488,37.6106646,126.9964881,122.42
135,-52,-10,17,643488,37.6106647,126.9964884,122.37
136,-52,-10,17,643488,37.6106647,126.9964886,122.3
137,-52,-10,17,643488,37.6106645,126.9964891,122.19
138,-52,-10,17,643488,37.6106645,126.9964889,122.16
139,-52,-10,17,643488,37.6106645,126.9964883,122.13
140,-52,-10,17,643488,37.6106647,126.9964885,121.96
141,-52,-10,17,643488,37.6106646,126.9964885,121.84
142,-52,-10,17,643488,37.6106645,126.9964911,120.53
143,-52,-10,17,643488,37.6106644,126.9964917,120.42
144,-52,-10,17,643488,37.6106643,126.9964923,120.33
145,-52,-10,17,643488,37.6106643,126.996493,120.24
146,-52,-10,17,643488,37.610664,126.9964943,120.03
147,-52,-10,17,643488,37.610664,126.996495,119.93
148,-52,-10,17,643488,37.610664,126.9964956,119.83
149,-52,-10,17,643488,37.6106639,126.9964967,119.63
150,-62,-12,7,643488,37.6106638,126.9964973,119.54
151,-62,-12,7,643488,37.6106634,126.9965049,118.46
152,-62,-12,7,643488,37.6106633,126.9965053,118.37
153,-62,-12,7,643488,37.6106633,126.9965057,118.28
154,-62,-12,7,643488,37.6106632,126.9965065,118.14
155,-62,-12,7,643488,37.6106632,126.996507,118.06
156,-62,-12,7,643488,37.6106631,126.9965078,117.9
157,-62,-12,7,643488,37.6106636,126.9965107,121.71
158,-62,-12,7,643488,37.6106638,126.9965103,121.68
159,-62,-12,7,643488,37.6106639,126.99651,121.65
160,-62,-12,7,643488,37.610664,126.9965096,121.64
161,-62,-12,7,643488,37.610664,126.9965092,121.63
162,-62,-12,7,643488,37.610664,126.9965091,121.6
163,-62,-12,7,643488,37.610664,126.9965091,121.6
164,-62,-12,7,643488,37.6106637,126.9965089,121.57
165,-62,-12,7,643488,37.6106637,126.9965089,121.58
166,-62,-12,7,643488,37.6106636,126.9965089,121.59
167,-62,-12,7,643488,37.6106637,126.9965093,122.16
168,-62,-12,7,643488,37.6106638,126.9965093,122.26
169,-64,-11,8,643488,37.6106641,126.996509,122.32
170,-64,-11,8,643488,37.6106643,126.9965088,122.38
171,-64,-11,8,643488,37.6106643,126.9965085,122.46
172,-64,-11,8,643488,37.6106643,126.9965083,122.47
173,-64,-11,8,643488,37.6106643,126.9965085,122.52
174,-64,-11,8,643488,37.6106644,126.9965087,122.69
175,-64,-11,8,643488,37.6106644,126.9965087,122.76
176,-64,-11,8,643488,37.6106645,126.996509,123.46
177,-64,-11,8,643488,37.6106646,126.996509,123.52
178,-64,-11,8,643488,37.6106646,126.996509,123.57
179,-64,-11,8,643488,37.6106646,126.9965088,123.69
180,-64,-11,8,643488,37.6106647,126.9965088,123.76
181,-64,-11,8,643488,37.6106647,126.9965087,123.83
182,-64,-11,8,643488,37.6106647,126.9965086,123.91
183,-64,-11,8,643488,37.6106647,126.9965084,123.99
184,-64,-11,8,643488,37.6106634,126.9965082,124.49
185,-64,-11,8,643488,37.6106635,126.9965081,124.54
186,-64,-11,8,643488,37.6106636,126.9965082,124.59
187,-64,-11,8,643488,37.6106636,126.9965084,124.67
188,-64,-11,8,643488,37.6106636,126.9965085,124.68
189,-64,-11,8,643488,37.6106637,126.9965086,124.83
190,-64,-11,8,643488,37.6106638,126.9965087,124.89
191,-64,-11,8,643488,37.6106638,126.9965087,124.96
192,-64,-11,8,643488,37.6106638,126.9965088,125.0
193,-64,-11,8,643488,37.6106633,126.9965084,125.01
194,-64,-11,8,643488,37.6106632,126.9965087,124.95
195,-64,-11,8,643488,37.6106631,126.9965093,124.89
196,-64,-11,8,643488,37.6106632,126.9965093,124.86
197,-64,-11,8,643488,37.6106632,126.9965091,124.84
198,-64,-11,8,643488,37.6106633,126.9965089,124.84
199,-64,-11,8,643488,37.6106639,126.9965081,124.8
200,-64,-11,8,643488,37.6106643,126.9965074,124.78
201,-64,-11,8,643488,37.6106647,126.9965066,124.77
202,-64,-11,8,643488,37.610669,126.9964946,124.57
203,-64,-11,8,643488,37.6106692,126.9964937,124.57
204,-64,-11,8,643488,37.6106698,126.9964918,124.51
205,-64,-11,8,643488,37.6106701,126.996491,124.53
206,-64,-11,8,643488,37.6106703,126.9964904,124.52
207,-64,-11,8,643488,37.6106706,126.9964897,124.51
208,-64,-11,8,643488,37.6106711,126.9964884,124.48
209,-64,-11,8,643488,37.6106715,126.9964876,124.47
210,-64,-11,8,643488,37.610672,126.9964866,124.46
211,-64,-11,8,643488,37.6106785,126.9964748,124.44
212,-64,-11,8,643488,37.6106789,126.9964737,124.42
213,-64,-11,8,643488,37.6106797,126.9964718,124.45
214,-64,-11,8,643488,37.6106798,126.9964707,124.46
215,-64,-11,8,643488,37.6106801,126.9964696,124.42
216,-64,-11,8,643488,37.6106804,126.9964687,124.4
217,-64,-11,8,643488,37.6106806,126.996468,124.4
218,-64,-11,8,643488,37.6106809,126.9964667,124.38
219,-64,-11,8,643488,37.6106808,126.9964663,124.39
220,-64,-11,8,643488,37.61068,126.9964672,124.21
221,-64,-11,8,643488,37.6106802,126.996467,124.2
222,-64,-11,8,643488,37.6106808,126.9964659,124.19
223,-64,-11,8,643488,37.6106813,126.9964648,124.15
224,-64,-11,8,643488,37.6106819,126.9964634,124.14
225,-64,-11,8,643488,37.6106826,126.9964622,124.1
226,-64,-11,8,643488,37.6106839,126.9964597,124.11
227,-64,-11,8,643488,37.6106846,126.9964584,124.09
228,-64,-11,8,643488,37.6106853,126.996457,124.08
229,-64,-11,8,643488,37.6106933,126.9964366,124.0
230,-64,-11,8,643488,37.6106937,126.9964354,124.01
231,-64,-11,8,643488,37.6106942,126.9964334,124.02
232,-64,-11,8,643488,37.6106944,126.9964326,124.03
233,-64,-11,8,643488,37.6106945,126.996432,124.04
234,-64,-11,8,643488,37.6106946,126.9964315,124.04
235,-64,-11,8,643488,37.6106947,126.9964312,124.01
236,-64,-11,8,643488,37.6106947,126.9964312,124.0
237,-64,-11,8,643488,37.6106948,126.9964314,123.99
238,-64,-11,8,643488,37.6106964,126.996428,124.03
239,-64,-11,8,643488,37.6106967,126.9964271,124.02
240,-64,-11,8,643488,37.6106975,126.996425,124.03
241,-64,-11,8,643488,37.6106977,126.996424,124.07
242,-64,-11,8,643488,37.610698,126.996423,124.07
243,-64,-11,8,643488,37.6106983,126.996422,124.08
244,-64,-11,8,643488,37.610699,126.9964198,124.07
245,-64,-11,8,643488,37.6106995,126.9964186,124.08
246,-64,-11,8,643488,37.6106998,126.9964175,124.1
247,-64,-11,8,643488,37.6107023,126.9964085,123.87
248,-64,-11,8,643488,37.6107025,126.9964084,123.86
249,-64,-11,8,643488,37.6107029,126.9964079,123.87
250,-64,-11,8,643488,37.6107032,126.9964077,123.84
251,-64,-11,8,643488,37.6107037,126.9964072,123.86
252,-64,-11,8,643488,37.6107042,126.9964067,123.86
253,-64,-11,8,643488,37.6107056,126.9964047,123.86
254,-64,-11,8,643488,37.6107063,126.9964035,123.87
255,-64,-11,8,643488,37.610707,126.9964025,123.89
256,-64,-11,8,643488,37.6107135,126.9963864,124.03
257,-64,-11,8,643488,37.610714,126.996385,124.02
258,-64,-11,8,643488,37.610715,126.9963823,124.02
259,-64,-11,8,643488,37.6107156,126.9963809,124.02
260,-64,-11,8,643488,37.6107163,126.9963795,124.01
261,-64,-11,8,643488,37.6107171,126.9963781,124.0
262,-64,-11,8,643488,37.6107184,126.9963756,124.02
263,-64,-11,8,643488,37.6107191,126.9963745,124.03
264,-64,-11,8,643488,37.6107197,126.9963732,124.03
265,-64,-11,8,643488,37.6107273,126.9963566,124.15
266,-64,-11,8,643488,37.610728,126.996355,124.14
267,-64,-11,8,643488,37.6107288,126.9963532,124.12
268,-64,-11,8,643488,37.6107306,126.9963497,124.14
269,-64,-11,8,643488,37.6107314,126.996348,124.12
270,-64,-11,8,643488,37.6107322,126.9963464,124.14
271,-64,-11,8,643488,37.6107329,126.996345,124.13
272,-64,-11,8,643488,37.610734,126.9963422,124.11
273,-64,-11,8,643488,37.6107345,126.9963409,124.12
274,-64,-11,8,643488,37.6107416,126.996321,124.08
275,-64,-11,8,643488,37.6107424,126.9963194,124.11
276,-64,-11,8,643488,37.6107432,126.9963177,124.11
277,-64,-11,8,643488,37.6107446,126.9963145,124.13
278,-64,-11,8,643488,37.6107453,126.9963129,124.13
279,-64,-11,8,643488,37.6107458,126.9963114,124.1
280,-64,-11,8,643488,37.6107465,126.9963099,124.1
281,-64,-11,8,643488,37.6107476,126.9963072,124.07
282,-64,-11,8,643488,37.6107483,126.9963059,124.13
283,-64,-11,8,643488,37.6107542,126.9962916,124.21
284,-64,-11,8,643488,37.6107545,126.9962904,124.22
285,-64,-11,8,643488,37.6107556,126.9962881,124.26
286,-64,-11,8,643488,37.6107561,126.9962869,124.27
287,-64,-11,8,643488,37.6107566,126.9962857,124.28
288,-64,-11,8,643488,37.6107571,126.9962844,124.3
289,-64,-11,8,643488,37.6107582,126.9962816,124.29
290,-64,-11,8,643488,37.6107589,126.9962803,124.28
291,-64,-11,8,643488,37.6107595,126.9962788,124.27
292,-64,-11,8,643488,37.6107681,126.9962608,124.1
293,-64,-11,8,643488,37.6107686,126.9962594,124.08
294,-64,-11,8,643488,37.6107694,126.9962566,124.08
295,-64,-11,8,643488,37.6107698,126.9962552,124.08
296,-64,-11,8,643488,37.6107703,126.9962537,124.08
297,-64,-11,8,643488,37.6107708,126.9962523,124.08
298,-64,-11,8,643488,37.610772,126.9962493,124.04
299,-64,-11,8,643488,37.6107726,126.9962476,124.05
300,-64,-11,8,643488,37.6107795,126.9962311,123.96
301,-64,-11,8,643488,37.6107807,126.9962291,123.93
302,-64,-11,8,643488,37.6107811,126.9962284,123.92
303,-64,-11,8,643488,37.6107813,126.9962279,123.92
304,-64,-11,8,643488,37.6107816,126.9962273,123.9
305,-64,-11,8,643488,37.6107818,126.9962269,123.9
306,-64,-11,8,643488,37.6107818,126.9962265,123.89
307,-64,-11,8,643488,37.610782,126.996226,123.91
